,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,Fair,France,Female,42,2,0.0,1,True,True,101348.88,True
1,Fair,Spain,Female,41,1,83807.86,1,False,True,112542.58,False
2,Poor,France,Female,42,8,159660.8,3,True,False,113931.57,True
3,Good,France,Female,39,1,0.0,2,False,False,93826.63,False
4,Excellent,Spain,Female,43,2,125510.82,1,True,True,79084.1,False
5,Fair,Spain,Male,44,8,113755.78,2,True,False,149756.71,True
6,Excellent,France,Male,50,7,0.0,2,True,True,10062.8,False
7,Very_Poor,Germany,Female,29,4,115046.74,4,True,False,119346.88,True
8,Poor,France,Male,44,4,142051.07,2,False,True,74940.5,False
9,Good,France,Male,27,2,134603.88,1,True,True,71725.73,False
10,Poor,France,Male,31,6,102016.72,2,False,False,80181.12,False
11,Very_Poor,Spain,Male,24,3,0.0,2,True,False,76390.01,False
12,Very_Poor,France,Female,34,10,0.0,2,True,False,26260.98,False
13,Poor,France,Female,25,5,0.0,2,False,False,190857.79,False
14,Fair,Spain,Female,35,7,0.0,2,True,True,65951.65,False
15,Fair,Germany,Male,45,3,143129.41,2,False,True,64327.26,False
16,Fair,Germany,Male,58,1,132602.88,1,True,False,5097.67,True
17,Poor,Spain,Female,24,9,0.0,2,True,True,14406.41,False
18,Poor,Spain,Male,45,6,0.0,1,False,False,158684.81,False
19,Good,France,Female,24,6,0.0,2,True,True,54724.03,False
20,Good,France,Male,41,8,0.0,2,True,True,170886.17,False
21,Fair,Spain,Female,32,8,0.0,2,True,False,138555.46,False
22,Poor,Spain,Female,38,4,0.0,1,True,False,118913.53,True
23,Good,France,Male,46,3,0.0,2,False,True,8487.75,False
24,Excellent,France,Female,38,5,0.0,1,True,True,187616.16,False
25,Poor,France,Male,25,3,0.0,2,False,True,124508.29,False
26,Good,Germany,Male,36,2,136815.64,1,True,True,170041.95,False
27,Poor,France,Male,44,9,0.0,2,False,False,38433.35,False
28,Poor,Germany,Female,43,3,141349.43,1,True,True,100187.43,False
29,Very_Poor,France,Male,29,0,59697.17,2,True,True,53483.21,False
30,Poor,Spain,Female,39,3,0.0,3,True,False,140469.38,True
31,Poor,France,Male,36,7,85311.7,1,False,True,156731.91,False
32,Poor,Germany,Male,41,9,110112.54,2,False,False,81898.81,False
33,Poor,Spain,Female,42,6,0.0,2,True,True,34410.55,False
34,Good,Spain,Female,29,9,0.0,2,True,True,142033.07,False
35,Very_Poor,France,Female,45,0,134264.04,1,True,False,27822.99,True
36,Very_Poor,Spain,Male,31,3,145260.23,1,False,True,114066.77,False
37,Excellent,Spain,Male,33,7,76548.6,1,False,True,98453.45,False
38,Excellent,France,Male,36,7,0.0,1,True,True,40812.9,False
39,Poor,Germany,Male,41,6,70349.48,2,False,True,178074.04,False
40,Very_Poor,Spain,Male,40,4,0.0,1,True,False,70154.22,False
41,Very_Poor,France,Female,51,8,122522.32,1,False,False,181297.65,True
42,Poor,France,Female,61,2,117419.35,1,True,True,94153.83,False
43,Excellent,France,Female,49,2,131394.56,1,False,False,194365.76,True
44,Fair,Spain,Female,61,5,155931.11,1,True,True,158338.39,False
45,Good,Germany,Female,32,4,109421.13,2,True,True,126517.46,False
46,Excellent,Germany,Female,27,9,112045.67,1,True,True,119708.21,True
47,Fair,Germany,Female,39,9,137843.8,1,True,True,117622.8,True
48,Poor,Germany,Male,38,2,103391.38,1,False,True,90878.13,False
49,Good,Germany,Female,37,2,103769.22,2,True,False,194099.12,False
50,Good,Germany,Male,44,10,116363.37,2,True,False,198059.16,False
51,Poor,Germany,Male,36,5,146050.97,2,False,False,86424.57,False
52,Excellent,France,Female,33,5,0.0,2,False,False,116978.19,False
53,Fair,Germany,Male,41,8,125561.97,1,False,False,164040.94,True
54,Fair,Germany,Male,42,1,98495.72,1,True,False,40014.76,True
55,Fair,France,Male,43,1,125211.92,1,True,True,113410.49,False
56,Fair,France,Male,45,5,127864.4,1,True,False,87107.57,False
57,Good,Germany,Male,19,0,75888.2,1,False,False,45613.75,False
58,Poor,Spain,Female,66,4,0.0,1,True,False,1643.11,True
59,Fair,France,Male,51,4,40685.92,1,True,True,46775.28,False
60,Good,Germany,Male,35,5,136857.0,1,False,False,84509.57,False
61,Good,Germany,Female,27,9,152328.88,2,False,False,126494.82,False
62,Poor,Spain,Male,33,1,56084.69,2,False,False,178798.13,False
63,Good,Spain,Male,56,8,78707.16,1,True,True,99398.36,False
64,Fair,Germany,Male,26,4,109166.37,1,True,True,92840.67,False
65,Good,Germany,Female,36,6,169831.46,2,True,True,27758.36,False
66,Poor,Germany,Female,34,1,101633.04,1,True,False,110431.51,False
67,Good,Germany,Male,43,10,123180.01,2,True,True,196673.28,False
68,Good,Germany,Female,35,5,150725.53,2,False,True,113656.85,False
69,Good,France,Female,21,8,98373.26,1,True,False,18203.0,False
70,Good,Germany,Male,58,2,133745.44,4,True,False,28373.86,True
71,Excellent,France,Male,29,6,0.0,1,True,False,33953.87,False
72,Fair,Spain,Female,37,0,163607.18,1,False,True,44203.55,False
73,Fair,Germany,Female,25,5,157780.84,2,True,True,58426.81,False
74,Poor,France,Male,36,9,0.0,2,False,True,145562.4,False
75,Good,France,Female,21,1,178718.19,2,True,False,22388.0,False
76,Good,France,Male,55,8,0.0,2,True,True,139161.64,False
77,Good,France,Female,32,9,0.0,1,True,True,148210.64,False
78,Good,Spain,Male,33,5,77253.22,1,False,True,194239.63,False
79,Very_Poor,Germany,Female,41,10,122189.66,2,True,False,98301.61,False
80,Good,France,Female,34,1,96645.54,2,False,False,171413.66,False
81,Good,France,Female,32,2,0.0,1,True,False,136458.19,True
82,Poor,France,Female,36,3,0.0,2,False,False,26019.59,False
83,Poor,France,Female,34,4,90307.62,1,True,True,159235.29,False
84,Very_Poor,France,Female,46,4,0.0,2,True,False,1907.66,False
85,Fair,Spain,Female,75,10,0.0,2,True,True,114675.75,False
86,Good,Spain,Male,22,3,121681.82,1,True,False,128643.35,True
87,Good,France,Male,30,9,0.0,2,True,False,151869.35,False
88,Fair,France,Female,46,4,0.0,3,True,False,93251.42,True
89,Fair,Germany,Female,28,3,81623.67,2,True,True,156791.36,False
90,Fair,Spain,Female,44,5,0.0,3,True,True,174205.22,True
91,Excellent,France,Male,45,7,118626.55,2,True,False,147132.46,False
92,Poor,France,Female,36,10,0.0,2,True,False,109614.57,False
93,Good,France,Male,29,8,0.0,2,True,True,172290.61,False
94,Good,Spain,Male,42,4,0.0,2,False,True,85982.47,False
95,Poor,Spain,Male,35,10,176273.95,1,False,True,121277.78,False
96,Good,Spain,Male,41,9,102827.44,1,False,True,64595.25,False
97,Excellent,Germany,Male,29,8,97086.4,2,True,True,197276.13,False
98,Good,Spain,Male,22,8,0.0,2,False,False,99645.04,False
99,Very_Poor,France,Male,34,9,0.0,2,False,False,6534.18,False
100,Good,France,Female,40,6,0.0,1,True,True,161848.03,False
101,Fair,France,Female,44,6,0.0,2,False,False,167162.43,False
102,Good,France,Male,31,9,82674.15,1,True,False,41970.72,False
103,Poor,Spain,Male,36,7,0.0,2,True,False,60536.56,False
104,Good,Spain,Female,65,1,0.0,1,True,True,177655.68,True
105,Fair,Spain,Female,46,4,107073.27,2,True,True,30984.59,True
106,Poor,Germany,Male,32,1,88938.62,1,True,True,10054.53,False
107,Excellent,Germany,Female,36,2,99806.85,1,False,True,36976.52,False
108,Fair,Spain,Male,33,5,150092.8,1,False,False,71862.79,False
109,Very_Poor,Germany,Male,35,9,92833.89,1,True,False,99449.86,True
110,Good,Germany,Male,30,3,90536.81,1,False,True,63082.88,False
111,Poor,Germany,Male,39,7,108055.1,2,True,False,27231.26,False
112,Poor,France,Male,42,2,100238.35,1,False,False,86797.41,False
113,Good,Spain,Male,36,9,106190.55,1,False,True,22994.32,False
114,Good,Germany,Male,28,9,154475.54,2,False,True,101300.94,True
115,Fair,Germany,Female,30,9,132351.29,2,True,True,74169.13,False
116,Good,Germany,Female,37,6,167864.4,1,True,False,115638.29,False
117,Poor,France,Female,41,1,0.0,2,True,False,31766.3,False
118,Poor,Germany,Female,31,8,107818.63,1,True,False,199725.39,True
119,Good,Germany,Male,34,4,185173.81,2,True,False,120834.48,False
120,Excellent,France,Male,34,8,129433.34,2,False,False,38131.77,False
121,Good,Spain,Male,39,6,120193.42,1,False,False,100130.95,False
122,Fair,France,Female,39,6,0.0,2,True,False,141069.88,False
123,Good,Germany,Female,48,10,126384.42,1,True,True,198129.36,False
124,Fair,France,Female,28,3,0.0,1,False,False,183646.41,False
125,Very_Poor,France,Male,42,9,152603.45,1,True,False,110265.24,True
126,Poor,France,Female,52,1,0.0,1,False,True,8636.05,True
127,Fair,Germany,Male,56,0,148507.24,1,True,False,46824.08,True
128,Excellent,France,Female,41,7,0.0,2,True,False,171378.77,False
129,Good,France,Male,24,9,101827.07,1,True,False,167256.35,False
130,Good,France,Female,34,3,0.0,2,True,True,124226.16,False
131,Excellent,Germany,Female,33,9,130862.43,1,True,True,114935.21,False
132,Good,France,Male,38,9,122570.87,1,True,True,35608.88,False
133,Good,France,Male,25,1,0.0,2,False,True,16459.37,False
134,Excellent,Germany,Male,39,7,124828.46,2,True,True,124411.08,False
135,Poor,Germany,Female,50,5,144895.05,2,True,True,34941.23,False
136,Very_Poor,Germany,Female,34,5,63663.93,1,False,True,167784.28,False
137,Fair,France,Male,40,2,133463.1,1,False,True,93165.34,False
138,Poor,Spain,Female,48,2,213146.2,1,True,False,75161.25,True
139,Poor,Spain,Female,35,1,129490.36,2,False,True,8590.83,True
140,Good,Germany,Male,44,10,137452.09,1,True,False,189543.9,False
141,Good,France,Male,34,7,0.0,2,True,True,180427.24,False
142,Good,France,Female,43,5,125851.93,1,True,True,193318.33,False
143,Excellent,Spain,Male,52,2,0.0,1,True,False,159123.82,True
144,Good,France,Female,31,5,40915.55,1,True,False,126213.84,True
145,Very_Poor,Spain,Female,21,5,113157.22,1,True,True,54141.5,False
146,Fair,Spain,Female,29,8,138296.94,2,True,False,141075.51,False
147,Fair,France,Male,37,5,106967.18,1,False,False,24495.03,False
148,Good,France,Male,44,9,120681.63,1,True,False,74836.34,False
149,Very_Poor,France,Male,32,0,0.0,2,False,True,878.87,False
150,Good,Spain,Female,32,7,0.0,2,True,False,89520.75,False
151,Poor,France,Female,48,9,0.0,1,True,False,149892.79,True
152,Good,Spain,Male,42,8,0.0,2,True,False,180800.42,False
153,Poor,France,Male,37,2,127609.59,1,True,False,98646.22,False
154,Fair,France,Female,43,6,0.0,2,True,True,109041.53,False
155,Good,Spain,Male,57,7,0.0,1,True,False,17941.16,True
